X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
2020-04-11_CA,-54%,-15%,-22%,-63%,-47%,+17%
Alberta,-52%,-13%,-44%,-64%,-45%,+16%
British Columbia,-51%,-17%,+21%,-58%,-48%,+15%
Manitoba,-42%,+0%,-42%,-55%,-38%,+15%
New Brunswick,-48%,-15%,-40%,-57%,-41%,+15%
Newfoundland and Labrador,-45%,-7%,-28%,-63%,-43%,+14%
Northwest Territories,-53%,-41%,N/A,-49%,-38%,N/A
Nova Scotia,-55%,-21%,-55%,-62%,-46%,+16%
Nunavut,-36%,N/A,N/A,N/A,-28%,N/A
Ontario,-54%,-9%,-20%,-62%,-48%,+16%
Prince Edward Island,-50%,-5%,-51%,N/A,-42%,+19%
Quebec,-64%,-27%,-38%,-67%,-49%,+19%
Saskatchewan,-50%,-11%,-33%,-58%,-40%,+15%
Yukon,-41%,-26%,N/A,N/A,-38%,N/A
