Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
SI,-76%,-39%,-34%,-47%,-46%,+15%
Administrative unit Maribor,-75%,-39%,-45%,-54%,-44%,+24%
Ajdovščina,-88%,-45%,N/A,-62%,-52%,N/A
Brežice,-89%,-53%,N/A,N/A,-50%,N/A
Celje,-79%,-47%,-61%,-48%,-51%,+11%
Cerknica,-87%,N/A,N/A,N/A,-55%,N/A
Domžale,-80%,-28%,N/A,-57%,-40%,+22%
Dravograd,-70%,N/A,N/A,N/A,-49%,N/A
Gornja Radgona,-85%,-42%,N/A,N/A,-52%,N/A
Grosuplje,-92%,-48%,N/A,N/A,-44%,+2%
Idrija,-66%,-45%,N/A,N/A,-49%,N/A
Ilirska Bistrica,-80%,N/A,N/A,N/A,-55%,N/A
Izola,-75%,-42%,N/A,N/A,-59%,N/A
Jesenice,-74%,-55%,-69%,-47%,-51%,N/A
Kamnik,-92%,-50%,N/A,N/A,-39%,+2%
Koper,-75%,-42%,-55%,-54%,-48%,+13%
Kočevje,-73%,-49%,N/A,N/A,-50%,N/A
Kranj,-77%,-38%,N/A,-60%,-49%,+27%
Krško,-84%,-51%,N/A,N/A,-48%,N/A
Laško,-80%,-51%,N/A,N/A,-53%,N/A
Lenart,-75%,-45%,N/A,N/A,-54%,N/A
Lendava,-89%,-58%,N/A,N/A,-51%,N/A
Litija,-75%,-44%,N/A,N/A,-52%,N/A
Ljubljana,-76%,-33%,-38%,-49%,-44%,+15%
Ljutomer,-86%,-48%,N/A,N/A,-55%,N/A
Logatec,-76%,-44%,N/A,-68%,-55%,N/A
Metlika,N/A,N/A,N/A,N/A,-55%,N/A
Mozirje,-87%,-45%,N/A,N/A,-50%,N/A
Municipality of Hrastnik,N/A,N/A,N/A,N/A,-47%,N/A
Murska Sobota,-80%,-47%,N/A,-56%,-44%,+1%
Nova Gorica,-81%,-44%,N/A,-56%,-47%,+2%
Novo Mesto,-81%,-28%,N/A,-61%,-51%,+19%
Ormož,-61%,-46%,N/A,N/A,-55%,N/A
Pesnica,-87%,N/A,N/A,N/A,-59%,N/A
Piran,-88%,-32%,-61%,N/A,-55%,N/A
Postojna,-80%,-51%,N/A,-46%,-50%,N/A
Ptuj,-81%,-45%,N/A,-52%,-45%,+18%
Radlje ob Dravi,-81%,-61%,N/A,N/A,-58%,N/A
Radovljica,-83%,-56%,-73%,-66%,-55%,N/A
Ravne na Koroškem,-77%,-42%,N/A,N/A,-42%,N/A
Ribnica,N/A,N/A,N/A,N/A,-52%,N/A
Ruše,-76%,N/A,N/A,N/A,-51%,N/A
Sevnica,-75%,-45%,N/A,N/A,-50%,N/A
Sežana,-95%,-54%,N/A,N/A,-51%,N/A
Slovenj Gradec,-87%,-59%,N/A,N/A,-59%,N/A
Slovenska Bistrica,-100%,-49%,N/A,N/A,-42%,N/A
Slovenske Konjice,-93%,-42%,N/A,N/A,-49%,N/A
Tolmin,-68%,-51%,N/A,N/A,-53%,N/A
Trbovlje,-83%,-48%,N/A,N/A,-50%,N/A
Trebnje,-81%,-57%,N/A,N/A,-52%,N/A
Tržič,-84%,-35%,N/A,N/A,-55%,N/A
Velenje,-68%,-42%,N/A,-59%,-50%,+0%
Vrhnika,-77%,-39%,N/A,N/A,-60%,N/A
Zagorje ob Savi,-85%,-40%,N/A,N/A,-54%,N/A
Črnomelj,-83%,-50%,N/A,N/A,-46%,N/A
Šentjur,-70%,-60%,N/A,N/A,-53%,N/A
Škofja Loka,-90%,-49%,N/A,-59%,-53%,+1%
Šmarje pri Jelšah,-83%,-58%,+19%,N/A,-51%,N/A
Žalec,-100%,-26%,N/A,N/A,-51%,+0%
